Avatar ,2009,7.9,James Cameron,Joel David MooreCCH Pounder
Titanic ,1997,7.7,James Cameron,Kate WinsletLeonardo DiCaprio
Furious 7 ,2015,7.2,James Wan,Paul WalkerJason Statham
Guardians of the Galaxy ,2014,8.1,James Gunn,Vin DieselBradley Cooper
Alice Through the Looking Glass ,2016,6.4,James Bobin,Alan RickmanJohnny Depp
How Do You Know ,2010,5.3,James L. Brooks,Domenick LombardozziShelley Conn
Knight and Day ,2010,6.3,James Mangold,Marc BlucasTom Cruise
The Wolverine ,2013,6.7,James Mangold,Tao OkamotoHugh Jackman
Terminator 2: Judgment Day ,1991,8.5,James Cameron,Jenette GoldsteinJoe Morton
True Lies ,1994,7.2,James Cameron,Tia CarrereJamie Lee Curtis
Fantasia 2000 ,1999,7.3,James Algar,Penn JilletteQuincy Jones
